100 [5, 8] 70.1 50 237688 15959
101 [5, 8] 50.8 43 238254 15976
102 [5, 8] 5.309999999999993 58 238312 15977
103 [5, 8] 77.09999999999998 48 238532 15986
104 [5, 8] 76.32 54 238614 15989
105 [4, 8] 56.58500000000003 66 238680 15990
106 [3, 8] 38.629999999999995 43 239137 15999
107 [5, 8] -19.480000000000036 96 239952 16018
108 [5, 8] 46.265 56 240319 16026
109 [3, 8] 48.839999999999996 45 240438 16032
110 [4, 8] 29.000000000000007 52 240508 16035
111 [5, 8] -107.50999999999999 138 240778 16042
112 [4, 8] 48.894999999999996 47 240839 16045
113 [5, 8] 72.35000000000002 57 242278 16077
114 [5, 8] 60.125000000000014 52 242373 16082
115 [5, 8] 64.315 55 242487 16086
116 [5, 8] 70.805 42 242582 16088
117 [5, 8] 30.01500000000001 70 242736 16095
118 [5, 8] 69.195 55 243153 16105
119 [5, 8] 27.189999999999994 87 243276 16107
120 [5, 8] 78.15999999999998 52 243396 16110
121 [4, 8] 82.89999999999999 44 243879 16116
122 [4, 8] 60.695 42 244125 16119
123 [5, 8] 57.54 61 244205 16122
124 [4, 8] 34.05 54 244557 16129
125 [3, 8] 33.06999999999999 53 244610 16130
126 [4, 8] 69.08000000000001 51 244989 16139
127 [5, 8] 23.684999999999995 77 245099 16141
128 [5, 8] 25.960000000000008 94 246176 16163
129 [2, 8] 10.33 44 246237 16165
130 [4, 8] 27.26000000000001 54 247059 16177
131 [4, 8] 6.299999999999994 95 247605 16186
132 [5, 8] 25.315000000000005 83 247772 16190
133 [5, 8] 23.714999999999996 56 248116 16199
134 [3, 8] 45.260000000000005 57 248173 16200
135 [3, 8] 35.88499999999999 50 248497 16213
136 [4, 8] 59.170000000000016 52 249683 16239
137 [4, 8] 68.89500000000001 45 249728 16240
138 [5, 8] 61.29499999999999 57 249785 16241
139 [0, 7] 34.57 67 250129 16249
140 [5, 8] 50.775000000000006 44 250176 16251
141 [5, 8] 82.85499999999999 42 250281 16254
142 [2, 8] 57.975 49 250355 16258
143 [2, 8] 51.15999999999999 55 250477 16263
144 [4, 8] 57.01500000000001 51 251072 16272
145 [5, 8] 47.525000000000006 63 251135 16273
146 [5, 8] 70.74000000000001 44 251272 16277
147 [2, 8] 38.75 44 251374 16281
148 [3, 8] 48.88 55 251470 16285
149 [4, 8] 63.17000000000001 52 251522 16286
150 [4, 8] 65.66 62 252188 16299
151 [4, 8] 80.06500000000001 47 252421 16304
152 [5, 8] 0.00500000000001144 79 252605 16308
153 [5, 8] 63.290000000000006 56 252814 16312
154 [2, 8] 66.92000000000002 48 253072 16320
155 [4, 8] 66.875 46 253453 16330
156 [5, 8] 60.040000000000006 48 253930 16346
157 [4, 8] 66.305 54 254016 16348
158 [2, 8] 45.005 51 254198 16353
159 [4, 8] 23.589999999999996 75 254339 16357
160 [4, 8] 18.650000000000006 69 254586 16363
161 [3, 8] 68.78500000000001 44 254652 16365
162 [4, 8] 62.47000000000002 56 254732 16368
163 [5, 8] 70.15 50 254864 16371
164 [3, 8] 68.89 48 254943 16374
165 [5, 8] 59.435 59 255113 16379
166 [0, 6] 13.549999999999992 68 255223 16383
167 [5, 8] 44.105000000000004 54 255327 16385
168 [4, 8] 16.855000000000004 61 255596 16393
169 [3, 8] -151.52499999999975 166 255774 16396
170 [4, 8] 3.4800000000000146 95 255869 16397
171 [5, 8] 34.08500000000001 58 256163 16401
172 [3, 8] 54.87000000000001 49 256269 16405
173 [5, 8] 63.42 55 256360 16408
174 [5, 8] 47.20000000000001 51 256478 16410
175 [5, 8] 26.830000000000002 47 256780 16418
176 [5, 8] 72.65 40 256834 16420
177 [5, 8] 71.295 56 257009 16424
178 [4, 8] 66.95500000000001 46 257189 16430
179 [5, 8] 68.915 46 257249 16432
180 [2, 8] 65.945 48 258801 16460
181 [0, 7] 47.96000000000001 48 259036 16467
182 [5, 8] 54.21 54 259103 16469
183 [2, 8] 36.95 55 259158 16470
184 [5, 8] 60.41999999999999 59 259356 16478
185 [5, 8] 30.095 58 259602 16487
186 [3, 8] 42.580000000000005 40 259642 16488
187 [3, 8] 47.345 58 259700 16489
188 [4, 8] 47.06 52 260001 16493
189 [5, 8] 45.315000000000005 59 260067 16495
190 [5, 8] 61.29000000000001 56 260251 16501
191 [5, 8] 38.295 58 260309 16502
192 [4, 8] 76.14 51 260623 16511
193 [5, 8] 59.440000000000005 40 260673 16513
194 [5, 8] 54.05000000000002 53 260726 16514
195 [0, 6] 59.02000000000001 52 260852 16518
196 [0, 7] 41.715 42 260962 16521
197 [5, 8] 54.26500000000001 55 261106 16525
198 [5, 8] 40.879999999999995 48 261154 16526
199 [4, 8] 42.60000000000001 40 261194 16527
200 [3, 8] 33.04 55 261450 16529
201 [4, 8] 30.024999999999995 53 261503 16530
202 [4, 8] 37.714999999999996 45 262030 16542
203 [0, 6] 8.005000000000004 70 262100 16543
204 [4, 8] 44.745000000000005 48 262156 16545
205 [3, 8] 73.22500000000002 54 262405 16549
206 [5, 8] 23.845 50 262596 16553
207 [4, 8] 75.19 53 263441 16568
208 [4, 8] 41.71499999999999 46 263792 16580
209 [4, 8] 43.32 60 264042 16585
210 [2, 8] 58.345 61 264759 16600
211 [4, 8] 50.745000000000005 43 264850 16606
212 [0, 7] 37.845 48 265141 16609
213 [4, 8] 39.91 49 265332 16614
214 [5, 8] 76.1 50 265653 16619
215 [4, 8] 24.195 59 266104 16628
216 [5, 8] -32.13000000000001 84 266358 16633
